nbr,station
0,A.J. Ernststraat
1,A'veen Busstation
2,Amstelstation
3,Amstelveen Centrum
4,Amstelveenseweg
5,Brink
6,Bullewijk
7,Centraal Station
8,Europaplein
9,Gaasperplas
10,Gein
11,Gondel
12,Haarl'meerstation
13,Heemstedestraat
14,Henk Sneevlietweg
15,Isolatorweg
16,Kraaienneststation
17,Kronenburg
18,Marne
19,Meent
20,Muiderpoortstation
21,Nieuwmarkt
22,Noord
23,Noorderpark
24,Onderuit
25,Oranjebaan
26,Ouderkerkerlaan
27,Overamstel
28,Poortwachter
29,Postjesweg
30,Reigersbos
31,Rokin
32,Sacharovlaan
33,Spaklerweg
34,Spinnerij
35,Sportlaan
36,Station Bijlmer ArenA
37,Station Diemen
38,Station Diemen Zuid
39,Station Diemen-Zuid
40,Station Duivendrecht
41,Station Ganzenhoef
42,Station Gein
43,Station Holendrecht
44,Station Lelylaan
45,Station RAI
46,Station Reigersbos
47,Station Science Park
48,Station Sloterdijk
49,Station Spaklerweg
50,Station Vijzelgracht
51,Station Weesp
52,Station Zuid
53,Stationsweg
54,Strandvliet
55,Uilenstede
56,Van Boshuizenstraat
57,Van der Madeweg
58,Venserpolder
59,Verrijn Stuartweg
60,Waterlooplein
61,Weesperplein
62,Westwijk
63,Wibautstraat
64,Zonnestein
